cust_id,age,gender,city,loyalty_segment,registration_date
50,60,Male,Abu Dhabi,Silver,2025-01-01
51,50,Female,Abu Dhabi,Silver,2025-01-01
52,40,Male,Dubai,Gold,2025-01-01
53,40,Male,Sharjah,Silver,2025-01-01
54,20,Female,Dubai,Gold,2025-01-01
55,60,Female,Dubai,Silver,2025-01-01
56,20,Female,Dubai,Silver,2025-01-01
57,30,Female,Dubai,Gold,2025-01-01
58,20,Female,Sharjah,Silver,2025-01-01
59,20,Female,Abu Dhabi,Gold,2025-01-01
60,50,Female,Dubai,Silver,2025-01-01
61,40,Male,Dubai,Gold,2025-01-01
62,60,Female,Dubai,Silver,2025-01-01
63,20,Female,Dubai,Gold,2025-01-01
64,60,Male,Abu Dhabi,Silver,2025-01-01
65,20,Female,Abu Dhabi,Silver,2025-01-01
66,30,Female,Abu Dhabi,Silver,2025-01-01
67,20,Male,Abu Dhabi,Silver,2025-01-01
68,50,Female,Dubai,Silver,2025-01-01
69,40,Female,Sharjah,Silver,2025-01-01
70,30,Female,Abu Dhabi,Silver,2025-01-01
71,20,Female,Abu Dhabi,Gold,2025-01-01
72,60,Female,Dubai,Gold,2025-01-01
73,30,Female,Dubai,Gold,2025-01-01
74,30,Male,Dubai,Silver,2025-01-01
75,20,Female,Dubai,Silver,2025-01-01
76,30,Female,Sharjah,Silver,2025-01-01
77,60,Male,Sharjah,Gold,2025-01-01
78,30,Male,Abu Dhabi,Silver,2025-01-01
79,60,Female,Sharjah,Silver,2025-01-01
80,20,Male,Abu Dhabi,Gold,2025-01-01
81,40,Female,Abu Dhabi,Silver,2025-01-01
82,30,Female,Sharjah,Gold,2025-01-01
83,40,Male,Abu Dhabi,Gold,2025-01-01
84,60,Female,Dubai,Silver,2025-01-01
85,30,Female,Abu Dhabi,Silver,2025-01-01
86,50,Male,Dubai,Silver,2025-01-01
87,40,Male,Sharjah,Gold,2025-01-01
88,30,Male,Sharjah,Silver,2025-01-01
89,40,Male,Abu Dhabi,Gold,2025-01-01
90,30,Female,Dubai,Silver,2025-01-01
91,20,Male,Abu Dhabi,Silver,2025-01-01
92,40,Male,Sharjah,Silver,2025-01-01
93,50,Male,Abu Dhabi,Gold,2025-01-01
94,50,Male,Abu Dhabi,Silver,2025-01-01
95,60,Male,Dubai,Gold,2025-01-01
96,30,Female,Sharjah,Silver,2025-01-01
97,40,Male,Abu Dhabi,Silver,2025-01-01
98,60,Female,Dubai,Gold,2025-01-01
99,40,Male,Abu Dhabi,Gold,2025-01-01
100,30,Male,Dubai,Silver,2025-01-01
101,50,Male,Dubai,Silver,2025-01-01
102,20,Male,Abu Dhabi,Gold,2025-01-01
103,50,Male,Sharjah,Silver,2025-01-01
104,60,Male,Sharjah,Silver,2025-01-01
105,20,Male,Dubai,Platinum,2025-01-01
106,60,Male,Sharjah,Silver,2025-01-01
107,30,Female,Dubai,Silver,2025-01-01
108,20,Male,Sharjah,Silver,2025-01-01
109,60,Female,Abu Dhabi,Gold,2025-01-01
110,30,Male,Sharjah,Gold,2025-01-01
111,50,Female,Dubai,Silver,2025-01-01
112,30,Male,Dubai,Silver,2025-01-01
113,40,Male,Sharjah,Silver,2025-01-01
114,30,Male,Abu Dhabi,Gold,2025-01-01
115,30,Female,Dubai,Silver,2025-01-01
116,40,Female,Dubai,Platinum,2025-01-01
117,60,Female,Dubai,Silver,2025-01-01
118,60,Female,Dubai,Platinum,2025-01-01
119,30,Male,Dubai,Silver,2025-01-01
120,40,Male,Abu Dhabi,Gold,2025-01-01
121,40,Male,Sharjah,Silver,2025-01-01
122,50,Female,Abu Dhabi,Silver,2025-01-01
123,60,Male,Abu Dhabi,Gold,2025-01-01
124,20,Female,Dubai,Gold,2025-01-01
125,60,Female,Abu Dhabi,Silver,2025-01-01
126,60,Female,Dubai,Gold,2025-01-01
127,50,Female,Abu Dhabi,Silver,2025-01-01
128,20,Female,Dubai,Gold,2025-01-01
129,50,Male,Dubai,Silver,2025-01-01
130,20,Female,Abu Dhabi,Silver,2025-01-01
131,30,Female,Abu Dhabi,Silver,2025-01-01
132,20,Male,Sharjah,Silver,2025-01-01
133,50,Female,Sharjah,Gold,2025-01-01
134,60,Female,Sharjah,Silver,2025-01-01
135,20,Male,Abu Dhabi,Silver,2025-01-01
136,20,Male,Abu Dhabi,Silver,2025-01-01
137,40,Male,Dubai,Gold,2025-01-01
138,60,Female,Sharjah,Silver,2025-01-01
139,30,Male,Dubai,Silver,2025-01-01
140,50,Male,Dubai,Platinum,2025-01-01
141,30,Male,Dubai,Silver,2025-01-01
142,60,Female,Dubai,Gold,2025-01-01
143,20,Male,Sharjah,Gold,2025-01-01
144,20,Female,Dubai,Silver,2025-01-01
145,60,Female,Abu Dhabi,Platinum,2025-01-01
146,20,Male,Abu Dhabi,Gold,2025-01-01
147,20,Female,Abu Dhabi,Silver,2025-01-01
148,20,Female,Sharjah,Silver,2025-01-01
149,50,Male,Dubai,Gold,2025-01-01
150,50,Female,Sharjah,Silver,2025-01-01
151,40,Male,Dubai,Gold,2025-01-01
152,30,Female,Sharjah,Silver,2025-01-01
153,60,Female,Sharjah,Silver,2025-01-01
154,60,Male,Dubai,Silver,2025-01-01
155,60,Male,Sharjah,Silver,2025-01-01
156,40,Female,Dubai,Silver,2025-01-01
157,50,Female,Abu Dhabi,Gold,2025-01-01
158,40,Male,Abu Dhabi,Gold,2025-01-01
159,60,Female,Abu Dhabi,Gold,2025-01-01
160,30,Female,Sharjah,Gold,2025-01-01
161,20,Female,Abu Dhabi,Gold,2025-01-01
162,50,Female,Dubai,Silver,2025-01-01
163,50,Male,Abu Dhabi,Gold,2025-01-01
164,40,Male,Abu Dhabi,Silver,2025-01-01
165,50,Male,Sharjah,Platinum,2025-01-01
166,60,Male,Dubai,Gold,2025-01-01
167,60,Male,Sharjah,Silver,2025-01-01
168,40,Male,Sharjah,Silver,2025-01-01
169,60,Female,Dubai,Silver,2025-01-01
170,30,Male,Sharjah,Silver,2025-01-01
171,40,Female,Dubai,Silver,2025-01-01
172,30,Female,Abu Dhabi,Silver,2025-01-01
173,20,Female,Dubai,Silver,2025-01-01
174,30,Male,Dubai,Platinum,2025-01-01
175,20,Female,Dubai,Gold,2025-01-01
176,20,Male,Sharjah,Gold,2025-01-01
177,30,Female,Dubai,Gold,2025-01-01
178,40,Female,Dubai,Silver,2025-01-01
179,60,Male,Dubai,Silver,2025-01-01
180,60,Female,Abu Dhabi,Gold,2025-01-01
181,20,Female,Dubai,Platinum,2025-01-01
182,20,Female,Sharjah,Silver,2025-01-01
183,40,Female,Dubai,Gold,2025-01-01
184,50,Male,Dubai,Platinum,2025-01-01
185,30,Female,Abu Dhabi,Gold,2025-01-01
186,20,Female,Dubai,Platinum,2025-01-01
187,60,Male,Sharjah,Silver,2025-01-01
188,40,Female,Dubai,Platinum,2025-01-01
189,30,Female,Sharjah,Gold,2025-01-01
190,40,Female,Abu Dhabi,Silver,2025-01-01
191,30,Female,Dubai,Platinum,2025-01-01
192,30,Male,Abu Dhabi,Silver,2025-01-01
193,20,Female,Dubai,Silver,2025-01-01
194,40,Male,Sharjah,Silver,2025-01-01
195,40,Female,Abu Dhabi,Silver,2025-01-01
196,60,Female,Dubai,Silver,2025-01-01
197,60,Female,Sharjah,Gold,2025-01-01
198,20,Male,Abu Dhabi,Silver,2025-01-01
199,20,Female,Dubai,Silver,2025-01-01
200,50,Female,Abu Dhabi,Silver,2025-01-01
201,60,Male,Dubai,Silver,2025-01-01
202,30,Male,Sharjah,Gold,2025-01-01
203,40,Male,Sharjah,Gold,2025-01-01
204,20,Male,Abu Dhabi,Platinum,2025-01-01
205,40,Female,Abu Dhabi,Gold,2025-01-01
206,40,Female,Dubai,Silver,2025-01-01
207,50,Female,Sharjah,Platinum,2025-01-01
208,60,Female,Dubai,Gold,2025-01-01
209,20,Male,Sharjah,Silver,2025-01-01
210,40,Female,Abu Dhabi,Gold,2025-01-01
211,20,Female,Dubai,Platinum,2025-01-01
212,30,Female,Dubai,Gold,2025-01-01
213,50,Female,Sharjah,Silver,2025-01-01
214,30,Male,Sharjah,Gold,2025-01-01
215,20,Female,Sharjah,Silver,2025-01-01
216,20,Female,Abu Dhabi,Silver,2025-01-01
217,60,Female,Dubai,Silver,2025-01-01
218,40,Male,Sharjah,Silver,2025-01-01
219,40,Male,Abu Dhabi,Silver,2025-01-01
220,30,Female,Sharjah,Silver,2025-01-01
221,50,Female,Dubai,Gold,2025-01-01
222,40,Female,Sharjah,Gold,2025-01-01
223,60,Male,Dubai,Platinum,2025-01-01
224,30,Female,Abu Dhabi,Silver,2025-01-01
225,30,Female,Abu Dhabi,Silver,2025-01-01
226,60,Female,Sharjah,Platinum,2025-01-01
227,50,Male,Dubai,Silver,2025-01-01
228,60,Female,Dubai,Gold,2025-01-01
229,50,Female,Dubai,Gold,2025-01-01
230,60,Male,Sharjah,Silver,2025-01-01
231,60,Male,Dubai,Gold,2025-01-01
232,20,Female,Dubai,Gold,2025-01-01
233,30,Male,Dubai,Silver,2025-01-01
234,60,Female,Dubai,Silver,2025-01-01
235,60,Male,Sharjah,Silver,2025-01-01
236,40,Male,Sharjah,Silver,2025-01-01
237,30,Female,Dubai,Silver,2025-01-01
238,40,Female,Dubai,Silver,2025-01-01
239,30,Female,Abu Dhabi,Silver,2025-01-01
240,40,Male,Abu Dhabi,Platinum,2025-01-01
241,60,Female,Dubai,Silver,2025-01-01
242,60,Female,Dubai,Silver,2025-01-01
243,20,Female,Abu Dhabi,Silver,2025-01-01
244,40,Female,Abu Dhabi,Silver,2025-01-01
245,50,Female,Dubai,Silver,2025-01-01
246,20,Male,Sharjah,Silver,2025-01-01
247,40,Female,Sharjah,Silver,2025-01-01
248,40,Female,Dubai,Gold,2025-01-01
249,20,Male,Dubai,Platinum,2025-01-01
250,60,Female,Abu Dhabi,Silver,2025-01-01
251,40,Female,Abu Dhabi,Silver,2025-01-01
252,60,Female,Sharjah,Gold,2025-01-01
253,20,Female,Dubai,Gold,2025-01-01
254,60,Female,Abu Dhabi,Silver,2025-01-01
255,30,Male,Sharjah,Platinum,2025-01-01
256,50,Male,Sharjah,Silver,2025-01-01
257,40,Male,Sharjah,Silver,2025-01-01
258,50,Female,Abu Dhabi,Gold,2025-01-01
259,60,Male,Abu Dhabi,Platinum,2025-01-01
260,40,Female,Dubai,Gold,2025-01-01
261,60,Female,Dubai,Silver,2025-01-01
262,30,Female,Sharjah,Silver,2025-01-01
263,20,Male,Sharjah,Silver,2025-01-01
264,40,Male,Abu Dhabi,Silver,2025-01-01
265,30,Male,Abu Dhabi,Gold,2025-01-01
266,30,Female,Dubai,Gold,2025-01-01
267,40,Male,Dubai,Gold,2025-01-01
268,60,Female,Dubai,Platinum,2025-01-01
269,30,Male,Abu Dhabi,Silver,2025-01-01
270,50,Male,Sharjah,Gold,2025-01-01
271,30,Female,Dubai,Gold,2025-01-01
272,60,Female,Dubai,Silver,2025-01-01
273,60,Male,Abu Dhabi,Gold,2025-01-01
274,50,Male,Dubai,Silver,2025-01-01
275,30,Male,Sharjah,Gold,2025-01-01
276,60,Female,Abu Dhabi,Silver,2025-01-01
277,40,Female,Dubai,Silver,2025-01-01
278,20,Male,Dubai,Gold,2025-01-01
279,20,Male,Abu Dhabi,Gold,2025-01-01
280,20,Female,Abu Dhabi,Silver,2025-01-01
281,30,Male,Dubai,Silver,2025-01-01
282,50,Female,Sharjah,Silver,2025-01-01
283,60,Female,Abu Dhabi,Silver,2025-01-01
284,40,Female,Sharjah,Gold,2025-01-01
285,40,Female,Dubai,Platinum,2025-01-01
286,30,Female,Sharjah,Silver,2025-01-01
287,20,Female,Dubai,Gold,2025-01-01
288,30,Male,Dubai,Silver,2025-01-01
289,50,Female,Dubai,Gold,2025-01-01
290,50,Female,Dubai,Silver,2025-01-01
291,60,Male,Sharjah,Silver,2025-01-01
292,60,Female,Dubai,Gold,2025-01-01
293,50,Male,Dubai,Silver,2025-01-01
294,50,Female,Sharjah,Gold,2025-01-01
295,50,Male,Abu Dhabi,Gold,2025-01-01
296,30,Male,Sharjah,Silver,2025-01-01
297,50,Female,Sharjah,Silver,2025-01-01
298,40,Female,Sharjah,Gold,2025-01-01
299,20,Female,Dubai,Gold,2025-01-01
300,50,Female,Dubai,Silver,2025-01-01
301,20,Male,Dubai,Silver,2025-01-01
302,30,Male,Abu Dhabi,Gold,2025-01-01
303,20,Male,Dubai,Silver,2025-01-01
304,30,Female,Abu Dhabi,Silver,2025-01-01
305,40,Male,Dubai,Silver,2025-01-01
306,30,Female,Sharjah,Gold,2025-01-01
307,30,Female,Dubai,Gold,2025-01-01
308,60,Male,Abu Dhabi,Platinum,2025-01-01
309,50,Female,Abu Dhabi,Gold,2025-01-01
310,50,Male,Dubai,Platinum,2025-01-01
311,40,Female,Sharjah,Silver,2025-01-01
312,40,Male,Dubai,Gold,2025-01-01
313,50,Female,Dubai,Silver,2025-01-01
314,60,Male,Dubai,Gold,2025-01-01
315,50,Male,Sharjah,Silver,2025-01-01
316,60,Female,Abu Dhabi,Silver,2025-01-01
317,40,Female,Sharjah,Gold,2025-01-01
318,20,Male,Abu Dhabi,Gold,2025-01-01
319,40,Female,Abu Dhabi,Silver,2025-01-01
320,40,Female,Abu Dhabi,Gold,2025-01-01
321,30,Female,Sharjah,Silver,2025-01-01
322,30,Male,Dubai,Silver,2025-01-01
323,30,Male,Dubai,Gold,2025-01-01
324,30,Female,Dubai,Silver,2025-01-01
325,60,Female,Dubai,Platinum,2025-01-01
326,50,Male,Dubai,Silver,2025-01-01
327,20,Female,Sharjah,Gold,2025-01-01
328,40,Male,Sharjah,Gold,2025-01-01
329,60,Female,Sharjah,Silver,2025-01-01
330,20,Female,Sharjah,Silver,2025-01-01
331,60,Female,Sharjah,Gold,2025-01-01
332,60,Male,Sharjah,Gold,2025-01-01
333,40,Male,Sharjah,Silver,2025-01-01
334,50,Male,Dubai,Silver,2025-01-01
335,30,Male,Abu Dhabi,Silver,2025-01-01
336,50,Female,Sharjah,Silver,2025-01-01
337,40,Female,Abu Dhabi,Silver,2025-01-01
338,40,Male,Sharjah,Silver,2025-01-01
339,40,Female,Sharjah,Gold,2025-01-01
340,20,Female,Dubai,Gold,2025-01-01
341,50,Male,Abu Dhabi,Platinum,2025-01-01
342,50,Female,Dubai,Gold,2025-01-01
343,60,Female,Dubai,Platinum,2025-01-01
344,60,Male,Abu Dhabi,Silver,2025-01-01
345,60,Female,Dubai,Gold,2025-01-01
346,40,Female,Sharjah,Platinum,2025-01-01
347,50,Female,Sharjah,Gold,2025-01-01
348,40,Male,Sharjah,Silver,2025-01-01
349,20,Male,Sharjah,Gold,2025-01-01
350,60,Female,Sharjah,Platinum,2025-01-01
351,40,Female,Dubai,Gold,2025-01-01
352,40,Female,Dubai,Silver,2025-01-01
353,20,Male,Sharjah,Gold,2025-01-01
354,30,Male,Sharjah,Platinum,2025-01-01
355,50,Male,Dubai,Silver,2025-01-01
356,30,Female,Abu Dhabi,Gold,2025-01-01
357,60,Female,Dubai,Silver,2025-01-01
358,40,Female,Dubai,Gold,2025-01-01
359,20,Female,Dubai,Gold,2025-01-01
360,20,Female,Dubai,Silver,2025-01-01
361,50,Male,Dubai,Silver,2025-01-01
362,30,Female,Abu Dhabi,Gold,2025-01-01
363,50,Female,Sharjah,Silver,2025-01-01
364,40,Female,Sharjah,Silver,2025-01-01
365,50,Male,Abu Dhabi,Gold,2025-01-01
366,20,Female,Sharjah,Silver,2025-01-01
367,20,Male,Sharjah,Silver,2025-01-01
368,60,Male,Sharjah,Platinum,2025-01-01
369,60,Male,Abu Dhabi,Silver,2025-01-01
370,40,Male,Abu Dhabi,Silver,2025-01-01
371,30,Male,Sharjah,Gold,2025-01-01
372,50,Female,Sharjah,Gold,2025-01-01
373,40,Female,Sharjah,Platinum,2025-01-01
374,60,Male,Dubai,Platinum,2025-01-01
375,50,Male,Dubai,Gold,2025-01-01
376,60,Male,Dubai,Silver,2025-01-01
377,50,Female,Abu Dhabi,Silver,2025-01-01
378,30,Female,Sharjah,Silver,2025-01-01
379,40,Male,Abu Dhabi,Silver,2025-01-01
380,50,Female,Abu Dhabi,Gold,2025-01-01
381,20,Female,Abu Dhabi,Gold,2025-01-01
382,20,Male,Sharjah,Silver,2025-01-01
383,50,Male,Dubai,Gold,2025-01-01
384,50,Female,Sharjah,Silver,2025-01-01
385,50,Female,Sharjah,Silver,2025-01-01
386,20,Female,Abu Dhabi,Gold,2025-01-01
387,20,Male,Abu Dhabi,Silver,2025-01-01
388,50,Male,Abu Dhabi,Silver,2025-01-01
389,60,Male,Dubai,Silver,2025-01-01
390,60,Female,Dubai,Silver,2025-01-01
391,30,Female,Dubai,Gold,2025-01-01
392,40,Male,Sharjah,Platinum,2025-01-01
393,60,Female,Abu Dhabi,Silver,2025-01-01
394,20,Male,Sharjah,Silver,2025-01-01
395,60,Female,Dubai,Gold,2025-01-01
396,30,Male,Abu Dhabi,Platinum,2025-01-01
397,30,Female,Dubai,Silver,2025-01-01
398,40,Female,Abu Dhabi,Silver,2025-01-01
399,60,Male,Abu Dhabi,Gold,2025-01-01
400,20,Male,Sharjah,Gold,2025-01-01
401,20,Male,Sharjah,Silver,2025-01-01
402,50,Male,Dubai,Gold,2025-01-01
403,20,Male,Sharjah,Silver,2025-01-01
404,40,Female,Sharjah,Silver,2025-01-01
405,40,Male,Sharjah,Silver,2025-01-01
406,20,Male,Abu Dhabi,Gold,2025-01-01
407,20,Male,Sharjah,Silver,2025-01-01
408,50,Male,Dubai,Silver,2025-01-01
409,20,Male,Abu Dhabi,Silver,2025-01-01
410,50,Female,Abu Dhabi,Gold,2025-01-01
411,50,Male,Sharjah,Silver,2025-01-01
412,20,Male,Abu Dhabi,Silver,2025-01-01
413,30,Male,Dubai,Silver,2025-01-01
414,30,Female,Dubai,Gold,2025-01-01
415,50,Female,Abu Dhabi,Silver,2025-01-01
416,20,Male,Sharjah,Silver,2025-01-01
417,30,Male,Sharjah,Silver,2025-01-01
418,20,Female,Abu Dhabi,Gold,2025-01-01
419,20,Female,Dubai,Silver,2025-01-01
420,20,Female,Abu Dhabi,Gold,2025-01-01
421,60,Male,Sharjah,Gold,2025-01-01
422,20,Male,Sharjah,Platinum,2025-01-01
423,60,Female,Abu Dhabi,Silver,2025-01-01
424,50,Male,Dubai,Platinum,2025-01-01
425,30,Female,Abu Dhabi,Silver,2025-01-01
426,30,Female,Dubai,Silver,2025-01-01
427,30,Female,Dubai,Gold,2025-01-01
428,30,Male,Abu Dhabi,Silver,2025-01-01
429,30,Female,Abu Dhabi,Silver,2025-01-01
430,30,Female,Dubai,Silver,2025-01-01
431,30,Male,Dubai,Gold,2025-01-01
432,50,Female,Dubai,Silver,2025-01-01
433,20,Male,Dubai,Gold,2025-01-01
434,40,Female,Sharjah,Gold,2025-01-01
435,60,Male,Abu Dhabi,Gold,2025-01-01
436,40,Female,Dubai,Silver,2025-01-01
437,40,Female,Abu Dhabi,Platinum,2025-01-01
438,20,Female,Dubai,Silver,2025-01-01
439,20,Female,Abu Dhabi,Silver,2025-01-01
440,20,Female,Abu Dhabi,Silver,2025-01-01
441,30,Male,Dubai,Silver,2025-01-01
442,50,Male,Dubai,Silver,2025-01-01
443,30,Female,Abu Dhabi,Silver,2025-01-01
444,50,Female,Abu Dhabi,Silver,2025-01-01
445,50,Female,Abu Dhabi,Silver,2025-01-01
446,40,Male,Sharjah,Gold,2025-01-01
447,40,Male,Dubai,Gold,2025-01-01
448,50,Female,Sharjah,Gold,2025-01-01
449,50,Male,Sharjah,Silver,2025-01-01
450,30,Female,Dubai,Silver,2025-01-01
451,30,Female,Dubai,Platinum,2025-01-01
452,40,Female,Sharjah,Silver,2025-01-01
453,20,Male,Dubai,Gold,2025-01-01
454,50,Female,Abu Dhabi,Silver,2025-01-01
455,30,Female,Abu Dhabi,Platinum,2025-01-01
456,40,Female,Sharjah,Silver,2025-01-01
457,30,Male,Sharjah,Silver,2025-01-01
458,50,Male,Dubai,Gold,2025-01-01
459,50,Male,Dubai,Silver,2025-01-01
460,60,Female,Sharjah,Silver,2025-01-01
461,20,Male,Sharjah,Silver,2025-01-01
462,60,Female,Abu Dhabi,Gold,2025-01-01
463,40,Male,Abu Dhabi,Silver,2025-01-01
464,30,Female,Dubai,Silver,2025-01-01
465,40,Male,Abu Dhabi,Silver,2025-01-01
466,50,Female,Dubai,Silver,2025-01-01
467,60,Male,Dubai,Gold,2025-01-01
468,60,Male,Dubai,Silver,2025-01-01
469,60,Male,Abu Dhabi,Silver,2025-01-01
470,40,Female,Sharjah,Silver,2025-01-01
471,50,Male,Sharjah,Silver,2025-01-01
472,30,Male,Abu Dhabi,Silver,2025-01-01
473,30,Male,Sharjah,Silver,2025-01-01
474,40,Male,Dubai,Silver,2025-01-01
475,60,Female,Sharjah,Platinum,2025-01-01
476,20,Male,Abu Dhabi,Silver,2025-01-01
477,40,Female,Sharjah,Gold,2025-01-01
478,40,Female,Dubai,Silver,2025-01-01
479,50,Female,Dubai,Silver,2025-01-01
480,30,Female,Abu Dhabi,Silver,2025-01-01
481,40,Male,Abu Dhabi,Silver,2025-01-01
482,40,Female,Abu Dhabi,Platinum,2025-01-01
483,60,Female,Dubai,Platinum,2025-01-01
484,60,Female,Sharjah,Gold,2025-01-01
485,20,Female,Sharjah,Gold,2025-01-01
486,50,Male,Abu Dhabi,Silver,2025-01-01
487,20,Male,Sharjah,Silver,2025-01-01
488,60,Female,Sharjah,Platinum,2025-01-01
489,30,Female,Abu Dhabi,Gold,2025-01-01
490,60,Female,Abu Dhabi,Silver,2025-01-01
491,50,Male,Dubai,Silver,2025-01-01
492,60,Male,Dubai,Silver,2025-01-01
493,50,Male,Dubai,Platinum,2025-01-01
494,50,Male,Dubai,Silver,2025-01-01
495,50,Male,Sharjah,Silver,2025-01-01
496,50,Female,Sharjah,Silver,2025-01-01
497,50,Male,Dubai,Gold,2025-01-01
498,30,Male,Dubai,Silver,2025-01-01
499,20,Female,Abu Dhabi,Gold,2025-01-01
500,40,Male,Sharjah,Silver,2025-01-01
501,20,Male,Sharjah,Gold,2025-01-01
502,50,Male,Dubai,Gold,2025-01-01
503,30,Female,Sharjah,Silver,2025-01-01
504,60,Male,Abu Dhabi,Silver,2025-01-01
505,30,Female,Abu Dhabi,Silver,2025-01-01
506,50,Female,Sharjah,Silver,2025-01-01
507,30,Male,Dubai,Gold,2025-01-01
508,30,Male,Sharjah,Silver,2025-01-01
509,50,Male,Abu Dhabi,Silver,2025-01-01
510,30,Male,Dubai,Silver,2025-01-01
511,40,Female,Sharjah,Silver,2025-01-01
512,40,Male,Dubai,Gold,2025-01-01
513,30,Female,Dubai,Silver,2025-01-01
514,60,Female,Abu Dhabi,Platinum,2025-01-01
515,50,Female,Dubai,Platinum,2025-01-01
516,40,Female,Sharjah,Silver,2025-01-01
517,60,Female,Dubai,Silver,2025-01-01
518,30,Male,Dubai,Gold,2025-01-01
519,60,Female,Sharjah,Silver,2025-01-01
520,20,Female,Abu Dhabi,Silver,2025-01-01
521,40,Male,Abu Dhabi,Silver,2025-01-01
522,30,Male,Sharjah,Silver,2025-01-01
523,50,Female,Sharjah,Gold,2025-01-01
524,30,Female,Abu Dhabi,Silver,2025-01-01
525,50,Male,Dubai,Silver,2025-01-01
526,30,Female,Sharjah,Platinum,2025-01-01
527,60,Male,Dubai,Gold,2025-01-01
528,60,Male,Sharjah,Silver,2025-01-01
529,60,Female,Abu Dhabi,Gold,2025-01-01
530,20,Male,Dubai,Silver,2025-01-01
531,50,Female,Dubai,Gold,2025-01-01
532,60,Female,Sharjah,Silver,2025-01-01
533,20,Female,Dubai,Silver,2025-01-01
534,50,Male,Sharjah,Gold,2025-01-01
535,30,Female,Abu Dhabi,Silver,2025-01-01
536,20,Male,Dubai,Platinum,2025-01-01
537,40,Female,Sharjah,Silver,2025-01-01
538,20,Female,Dubai,Platinum,2025-01-01
539,20,Male,Sharjah,Platinum,2025-01-01
540,50,Female,Sharjah,Silver,2025-01-01
541,30,Female,Sharjah,Gold,2025-01-01
542,40,Male,Abu Dhabi,Silver,2025-01-01
543,60,Male,Dubai,Platinum,2025-01-01
544,60,Male,Abu Dhabi,Silver,2025-01-01
545,20,Female,Sharjah,Gold,2025-01-01
546,50,Male,Sharjah,Silver,2025-01-01
547,50,Male,Abu Dhabi,Silver,2025-01-01
548,60,Female,Abu Dhabi,Silver,2025-01-01
549,40,Male,Dubai,Silver,2025-01-01
550,30,Female,Sharjah,Gold,2025-01-01
551,40,Female,Abu Dhabi,Gold,2025-01-01
552,30,Male,Sharjah,Gold,2025-01-01
553,60,Female,Sharjah,Silver,2025-01-01
554,30,Male,Dubai,Silver,2025-01-01
555,50,Male,Dubai,Silver,2025-01-01
556,20,Male,Dubai,Gold,2025-01-01
557,20,Male,Abu Dhabi,Platinum,2025-01-01
558,60,Female,Sharjah,Silver,2025-01-01
559,50,Female,Abu Dhabi,Silver,2025-01-01
560,40,Male,Abu Dhabi,Silver,2025-01-01
561,50,Male,Dubai,Gold,2025-01-01
562,20,Female,Sharjah,Gold,2025-01-01
563,20,Male,Sharjah,Gold,2025-01-01
564,50,Female,Dubai,Silver,2025-01-01
565,50,Male,Sharjah,Gold,2025-01-01
566,20,Female,Dubai,Gold,2025-01-01
567,40,Female,Abu Dhabi,Silver,2025-01-01
